,drawing_id,drawingdate,tickets_id,shares,total_shares,fraction,participation_state
0,polishMiniLotto_3892,2020-06-28 19:50:00,5e3fdd6c6d0034002c62ce11,1.0,1.0,1.0,FINISHED
1,polishMiniLotto_3892,2020-06-28 19:50:00,5924d5c5b9b5ab77047f1238,1.0,1.0,1.0,FINISHED
2,polishMiniLotto_3892,2020-06-28 19:50:00,5ea0e78a0fa635002cfbab70,1.0,1.0,1.0,FINISHED
3,polishMiniLotto_3892,2020-06-28 19:50:00,5ea33280dd5890002d9caab0,1.0,1.0,1.0,FINISHED
4,polishMiniLotto_3892,2020-06-28 19:50:00,5920a5739abd3c607d351d74,1.0,1.0,1.0,FINISHED
5,polishMiniLotto_3892,2020-06-28 19:50:00,597a63819abd3c260dae7114,1.0,1.0,1.0,FINISHED
6,polishMiniLotto_3892,2020-06-28 19:50:00,5c6bf936caa1c8000b2b0c6e,1.0,1.0,1.0,FINISHED
7,polishMiniLotto_3892,2020-06-28 19:50:00,58dd8009b19ad30bb5322928,1.0,1.0,1.0,FINISHED
8,polishMiniLotto_3892,2020-06-28 19:50:00,5d25264a240798002cd143db,1.0,1.0,1.0,FINISHED
9,polishMiniLotto_3892,2020-06-28 19:50:00,5e7f90e66b8475002ca46590,1.0,1.0,1.0,FINISHED
10,polishMiniLotto_3892,2020-06-28 19:50:00,5afd57f42763ab28eafe0eeb,1.0,1.0,1.0,FINISHED
11,polishMiniLotto_3892,2020-06-28 19:50:00,56d15bfae4b04fc4c4061813,1.0,1.0,1.0,FINISHED
12,polishMiniLotto_3892,2020-06-28 19:50:00,5ef8de2f223ea4002c6133ed,1.0,1.0,1.0,FINISHED
13,polishMiniLotto_3892,2020-06-28 19:50:00,5d4a4bce773ad6002cae4524,1.0,1.0,1.0,FINISHED
14,polishMiniLotto_3892,2020-06-28 19:50:00,5ef78cd9f5328c002de8ce43,1.0,1.0,1.0,FINISHED
15,polishMiniLotto_3892,2020-06-28 19:50:00,5ef8505bf5328c002de96f2e,1.0,1.0,1.0,FINISHED
16,polishMiniLotto_3892,2020-06-28 19:50:00,5ee89070eea2b3002c0d31d3,1.0,1.0,1.0,FINISHED
17,polishMiniLotto_3892,2020-06-28 19:50:00,5ed8a1870274ce002c4bdac1,1.0,1.0,1.0,FINISHED
18,polishMiniLotto_3892,2020-06-28 19:50:00,5ef7a4d598953a002c5cee0a,1.0,1.0,1.0,FINISHED
19,polishMiniLotto_3892,2020-06-28 19:50:00,5ef8bcab98953a002c5de755,1.0,1.0,1.0,FINISHED
